id,question_text,old_order_index,new_order_index
4984b77c-3578-4cb3-8ed9-2a0c901a5e20,"How would you describe the balance between work, rest, and play in your life right now?",37,25
7a5eded4-38db-4d8f-a084-aadfba2e9567,"When you feel embarrassed, do you tend to laugh it off, hide it, or replay it in your mind?",54,26
646f4703-5919-4d4f-9619-b0b41862f75f,Which risk did you take lately that you are thankful for?,59,27
6d5e6fe2-a58f-4a07-b06c-a1f5246e6730,What is something about your current self that your younger self would admire?,39,28
2c5f0586-49a0-4b06-969e-ee3681f7059c,"How has your body felt throughout the day recently—energized, tired, tense, or relaxed?",21,29
7ba5f25f-8215-4f94-9918-4a6604207d79,What is a consistent and reliable source of joy for you?,20,30
82a3ad61-3241-4296-bc63-6d5d7a27c686,Name an obstacle to your goals… Why is it hindering you?,10,31
8f5b0eef-26b0-4a57-bbfc-991d2d7125c7,"When did you recently feel alone, even while around other people—and what made it feel that way?",53,32
38f94740-246e-493b-8edd-94e2727355eb,What recurring worry or fear has been on your mind lately?,27,33
b8024d9a-0e98-45a6-a60e-51525735aab2,"When you scroll social media, what emotion usually shows up first—envy, excitement, boredom, validation, or something else?",42,34
5312aec7-76fa-44ba-8b68-584749a84575,How connected have you felt to your community or the world around you recently?,40,35
328cf25d-7084-471f-8297-947e95b98341,How has your meals affected your mood or energy recently? Is a change needed?,24,36
733f5e94-54d4-4bae-a439-34685daa5264,"Did you notice a moment of beauty recently—natural, artistic, or human?",41,37
70d1feb2-2649-4deb-a46d-a87c97faa903,Are you feeling overall stagnant or are you progressing towards a goal?,16,38
39d9d445-8df6-4023-8919-d3ae9cbf92c9,"Did you notice any moments of self-doubt recently, and how did you respond?",32,39
4b8474c2-28f6-4156-a783-3ed293e99e6a,Have you compared yourself to someone online recently—what specifically triggered that comparison?,43,40
0deaaaef-1ea8-4d03-bdd1-fb7e66825ec2,Where in your life do you succeed behind the scenes without validation?,56,41
3b004446-6e29-46a7-9a8b-55cff1c8c486,"In what ways did you move your body recently, and how did it make you feel?",25,42
538de26f-9eba-4c14-8372-448e000dbdb4,What is the most recent moment you genuinely felt proud—even if no one else cared?,57,43
a0f8ac51-41cc-47ab-af49-08fc0bc295fc,Are your distractions giving you relief or just postponing discomfort?,48,44
c7b8e189-0ca4-4896-9783-c344f78aaa3f,"If you reduced your time online this week, what might you gain back in your life?",45,45
13ea2eed-0b05-4442-bd84-52536629aff6,"If you could remove one distraction for the next 7 days, which one would create the biggest change?",50,46
c23ffc65-fd73-4a40-b376-67e4e64d2531,What are you proud of that doesn't look impressive on paper?,60,47
826e3341-7d27-40ac-94aa-27866a015f0b,"When was the last time you pushed through discomfort, and what did you learn about yourself?",51,48
5ba885dd-3658-4303-9546-2e4a6445fb93,"What is the distraction you keep going back to, even when you know it derails your focus?",46,49
48f92ff8-cf28-4186-9cac-85907259336c,"How has your eating been tied to emotion lately—comfort, boredom, stress, celebration?",62,50
783c88ab-e66f-45be-9641-ee6e8fa725a4,"When were you most distracted in the last 48 hours, and what were you avoiding in that moment?",47,51
06c6953f-64cd-4816-b586-5496fada3aae,What belief about food or diet is no longer serving you?,63,52
c450db8c-178c-4f25-bd28-07c2a3332a6c,What environment helps you stay focused—and when did you last put yourself in it?,49,53
85a9ed2d-be71-439e-9f93-6028e0ffd2f5,What version of yourself (past or present) deserves more recognition from you?,58,54
